accession_number,filed_as_of_date,date_of_event,conformed_submission_type,issuer_cik,issuer_name,issuer_cusip,reporting_person_cik,reporting_person_name,score_total,grade,score_base,score_direction_adj,score_form_type,score_percent_of_class,score_rpt_type,score_source_funds,score_activist,score_amend_no,score_purpose,score_item6,ticker,ticker_match_method,ticker_match_score,indicator_calc_date,price_at_filing,rsi_14,macd,macd_signal,macd_histogram,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,bb_upper,bb_middle,bb_lower,bb_position_pct,atr_14,volume,avg_volume_20,volume_ratio
0001062993-25-000996,20250122,01/21/2025,SCHEDULE 13D,866095,"ABRDN JAPAN EQUITY FUND, INC.",00306J109,1510281,"Saba Capital Management, L.P.",71,B,71,0,18,6,2,1,18,4,16,6,JEQ,CIK,100,,,,,,,,,,,,,,,,,,,,
0001062993-25-000996,20250122,01/21/2025,SCHEDULE 13D,866095,"ABRDN JAPAN EQUITY FUND, INC.",00306J109,1608233,Boaz R. Weinstein,71,B,71,0,18,6,2,1,18,4,16,6,JEQ,CIK,100,,,,,,,,,,,,,,,,,,,,
0000950170-25-002273,20250106,12/31/2024,SCHEDULE 13D/A,868780,"Dorman Products, Inc.",258278100,1205405,Steven L. Berman,77,B,77,0,12,9,10,5,18,1,16,6,DORM,CIK,100,2025-01-07,124.06,49.83,-1.92,-0.9,-1.02,132.93,133.32,,-6.67,-6.95,,141.72,132.93,124.13,-0.4,3.25,159800,162445,0.98
0000950170-25-002952,20250107,12/31/2024,SCHEDULE 13G/A,868780,"Dorman Products, Inc.",258278100,1206109,Marc H. Berman,23,D,23,0,2,6,10,0,0,1,4,0,DORM,CIK,100,2025-01-08,125.76,56.32,-2.13,-1.15,-0.98,132.34,133.54,,-4.97,-5.83,,141.41,132.34,123.27,13.73,3.16,195400,167845,1.16
0000897101-25-000056,20250115,01/14/2025,SCHEDULE 13D/A,870780,Nuveen Pennsylvania Quality Municipal Income Fund,670972108,1053046,"Sit Fixed Income Advisors II, LLC",37,D,37,0,12,6,12,1,0,2,4,0,NQP,CIK,100,2025-01-16,10.34,59.44,-0.1,-0.12,0.02,10.32,10.6,,0.2,-2.45,,10.54,10.32,10.09,55.68,0.1,41300,128220,0.32
0000897101-25-000065,20250122,01/21/2025,SCHEDULE 13D/A,870780,Nuveen Pennsylvania Quality Municipal Income Fund,670972108,1053046,"Sit Fixed Income Advisors II, LLC",25,D,31,-6,12,0,12,1,0,2,4,0,NQP,CIK,100,2025-01-23,10.41,56.09,-0.05,-0.08,0.04,10.32,10.58,,0.82,-1.65,,10.52,10.32,10.12,71.27,0.09,79400,127880,0.62
0000897101-25-000056,20250115,01/14/2025,SCHEDULE 13D/A,870780,Nuveen Pennsylvania Quality Municipal Income Fund,670972108,769317,"Sit Investment Associates, Inc.",37,D,37,0,12,6,12,1,0,2,4,0,NQP,CIK,100,2025-01-16,10.34,59.44,-0.1,-0.12,0.02,10.32,10.6,,0.2,-2.45,,10.54,10.32,10.09,55.68,0.1,41300,128220,0.32
0000897101-25-000065,20250122,01/21/2025,SCHEDULE 13D/A,870780,Nuveen Pennsylvania Quality Municipal Income Fund,670972108,769317,"Sit Investment Associates, Inc.",25,D,31,-6,12,0,12,1,0,2,4,0,NQP,CIK,100,2025-01-23,10.41,56.09,-0.05,-0.08,0.04,10.32,10.58,,0.82,-1.65,,10.52,10.32,10.12,71.27,0.09,79400,127880,0.62
0001040188-25-000018,20250128,12/31/2024,SCHEDULE 13G,871763,ManpowerGroup Inc.,56418H100,1040188,"Victory Capital Management, Inc.",26,D,26,0,6,0,12,0,0,4,4,0,MAN,CIK,100,2025-01-29,57.86,57.25,0.42,0.0,0.42,55.94,57.06,,3.43,1.4,,59.68,55.94,52.21,75.61,1.36,1012900,663725,1.53
0001622627-25-000001,20250127,12/23/2024,SCHEDULE 13D/A,872912,"DELCATH SYSTEMS, INC.",24661P807,1579206,Rosalind Master Fund L.P.,54,C,54,0,12,0,6,1,18,1,16,0,DCTH,CIK,100,2025-01-28,15.99,51.69,1.13,0.84,0.28,13.48,12.03,,18.62,32.92,,16.57,13.48,10.39,90.61,0.98,335000,502185,0.67
0001622627-25-000001,20250127,12/23/2024,SCHEDULE 13D/A,872912,"DELCATH SYSTEMS, INC.",24661P807,1622627,"Rosalind Advisors, Inc.",65,B,65,0,12,9,8,1,18,1,16,0,DCTH,CIK,100,2025-01-28,15.99,51.69,1.13,0.84,0.28,13.48,12.03,,18.62,32.92,,16.57,13.48,10.39,90.61,0.98,335000,502185,0.67
0001622627-25-000001,20250127,12/23/2024,SCHEDULE 13D/A,872912,"DELCATH SYSTEMS, INC.",24661P807,1622627,Rosalind Opportunities Fund I L.P.,54,C,54,0,12,0,6,1,18,1,16,0,DCTH,CIK,100,2025-01-28,15.99,51.69,1.13,0.84,0.28,13.48,12.03,,18.62,32.92,,16.57,13.48,10.39,90.61,0.98,335000,502185,0.67
0001622627-25-000001,20250127,12/23/2024,SCHEDULE 13D/A,872912,"DELCATH SYSTEMS, INC.",24661P807,1623082,SALAMON STEVEN A J,67,B,67,0,12,9,10,1,18,1,16,0,DCTH,CIK,100,2025-01-28,15.99,51.69,1.13,0.84,0.28,13.48,12.03,,18.62,32.92,,16.57,13.48,10.39,90.61,0.98,335000,502185,0.67
0001622627-25-000001,20250127,12/23/2024,SCHEDULE 13D/A,872912,"DELCATH SYSTEMS, INC.",24661P807,1811824,Aharon Gil,67,B,67,0,12,9,10,1,18,1,16,0,DCTH,CIK,100,2025-01-28,15.99,51.69,1.13,0.84,0.28,13.48,12.03,,18.62,32.92,,16.57,13.48,10.39,90.61,0.98,335000,502185,0.67
0001213900-25-006508,20250124,12/31/2024,SCHEDULE 13G/A,873860,ONITY GROUP INC.,675746606,1770593,Roberto Marco Sella,18,D,18,0,2,0,10,0,0,2,4,0,ONIT,CIK,100,2025-01-24,35.37,69.14,0.99,0.41,0.58,31.73,31.64,,11.47,11.79,,35.79,31.73,27.66,94.83,1.2,19800,41615,0.48
0000354204-25-000513,20250123,12/31/2024,SCHEDULE 13G,873860,Onity Group Inc,675746606,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,ONIT,CIK,100,2025-01-24,35.37,79.73,0.99,0.41,0.58,31.73,31.64,,11.47,11.79,,35.79,31.73,27.66,94.83,1.2,19800,41615,0.48
0000932471-25-000029,20250108,12/31/2024,SCHEDULE 13G/A,874015,Ionis Pharmaceuticals Inc,462222100,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,IONS,CIK,100,2025-01-08,34.1,62.89,-0.68,-0.51,-0.17,36.03,36.65,,-5.36,-6.96,,38.56,36.03,33.49,12.03,1.18,759300,1469885,0.52
0000932471-25-000277,20250131,12/31/2024,SCHEDULE 13G/A,874238,Sterling Infrastructure Inc,859241101,102909,The Vanguard Group,28,D,28,0,2,9,12,0,0,1,4,0,STRL,CIK,100,2025-01-31,142.42,32.52,-7.69,-3.33,-4.36,169.36,178.88,,-15.91,-20.38,,206.64,169.36,132.08,13.87,11.91,758200,484905,1.56
0000950170-25-005959,20250115,01/13/2025,SCHEDULE 13D/A,874499,Gulfport Energy Corporation,402635502,1029625,Edward A. Mule,54,C,54,0,12,14,10,1,0,1,16,0,GPOR,CIK,100,2025-01-16,193.39,61.72,5.8,4.79,1.02,179.81,172.96,,7.55,11.81,,198.87,179.81,160.74,85.63,5.76,333800,313590,1.06
0000950170-25-005959,20250115,01/13/2025,SCHEDULE 13D/A,874499,Gulfport Energy Corporation,402635502,1332784,"Silver Point Capital, L.P.",46,C,46,0,12,14,2,1,0,1,16,0,GPOR,CIK,100,2025-01-16,193.39,61.72,5.8,4.79,1.02,179.81,172.96,,7.55,11.81,,198.87,179.81,160.74,85.63,5.76,333800,313590,1.06
0000950170-25-005959,20250115,01/13/2025,SCHEDULE 13D/A,874499,Gulfport Energy Corporation,402635502,1382617,Robert J. O'Shea,54,C,54,0,12,14,10,1,0,1,16,0,GPOR,CIK,100,2025-01-16,193.39,61.72,5.8,4.79,1.02,179.81,172.96,,7.55,11.81,,198.87,179.81,160.74,85.63,5.76,333800,313590,1.06
0000932471-25-000075,20250130,12/31/2024,SCHEDULE 13G/A,874501,Ambac Financial Group Inc,023139884,102909,The Vanguard Group,25,D,25,0,2,6,12,0,0,1,4,0,OSG,CIK,100,2025-01-31,11.63,42.69,-0.2,-0.25,0.05,11.52,12.2,,0.95,-4.67,,12.26,11.52,10.79,57.14,0.34,375900,436925,0.86
0001562230-25-000002,20250103,12/31/2024,SCHEDULE 13G/A,874761,AES Corp.,00130H105,1562230,Capital International Investors,19,D,19,0,2,0,12,0,0,1,4,0,AES,CIK,100,2025-01-03,12.32,37.38,-0.23,-0.32,0.09,12.17,12.88,,1.22,-4.36,,12.82,12.17,11.53,61.13,0.37,8762900,11688120,0.75
0000919574-25-000556,20250128,01/27/2025,SCHEDULE 13D/A,876343,"Lineage Cell Therapeutics, Inc.",53566P109,1278386,"BROADWOOD PARTNERS, L.P.",73,B,73,0,12,14,6,6,18,1,16,0,LCTX,CIK,100,2025-01-29,0.6,40.0,0.01,0.0,0.01,0.58,0.59,,3.45,1.69,,0.67,0.58,0.49,61.11,0.05,2431000,2497920,0.97
0000919574-25-000556,20250128,01/27/2025,SCHEDULE 13D/A,876343,"Lineage Cell Therapeutics, Inc.",53566P109,1278387,"BROADWOOD CAPITAL, INC.",69,B,69,0,12,14,2,6,18,1,16,0,LCTX,CIK,100,2025-01-29,0.6,40.0,0.01,0.0,0.01,0.58,0.59,,3.45,1.69,,0.67,0.58,0.49,61.11,0.05,2431000,2497920,0.97
0000919574-25-000556,20250128,01/27/2025,SCHEDULE 13D/A,876343,"Lineage Cell Therapeutics, Inc.",53566P109,1278388,NEAL C. BRADSHER,69,B,69,0,12,14,2,6,18,1,16,0,LCTX,CIK,100,2025-01-29,0.6,40.0,0.01,0.0,0.01,0.58,0.59,,3.45,1.69,,0.67,0.58,0.49,61.11,0.05,2431000,2497920,0.97
0000354204-25-000511,20250123,12/31/2024,SCHEDULE 13G,876427,Monro Inc,610236101,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,MNRO,CIK,100,2025-01-24,20.62,70.63,-1.07,-1.1,0.03,21.57,23.97,,-4.38,-13.96,,24.08,21.57,19.05,31.31,0.66,673000,504240,1.33
0001398344-25-000555,20250110,12/31/2024,SCHEDULE 13G/A,879361,"BlackRock MuniYield Fund, Inc.",09253W104,1447578,"RIVERNORTH CAPITAL MANAGEMENT, LLC",32,D,32,0,2,12,12,0,0,2,4,0,MYD,CIK,100,2025-01-10,9.79,81.52,-0.13,-0.15,0.02,9.92,10.2,,-1.31,-4.01,,10.4,9.92,9.44,36.51,0.13,233900,296655,0.79
0000897101-25-000035,20250103,12/31/2024,SCHEDULE 13G,879535,DTF Tax-Free Income 2028 Term Fund Inc,23334J107,769317,"Sit Fixed Income Advisors II, LLC",35,D,35,0,6,9,12,0,0,4,4,0,DTF,CIK,100,2025-01-03,10.87,56.82,-0.01,-0.03,0.02,10.77,10.78,,0.92,0.82,,11.03,10.77,10.51,69.0,0.09,10700,46815,0.23
0000897101-25-000035,20250103,12/31/2024,SCHEDULE 13G,879535,DTF Tax-Free Income 2028 Term Fund Inc,23334J107,769317,"Sit Investment Associates, Inc.",35,D,35,0,6,9,12,0,0,4,4,0,DTF,CIK,100,2025-01-03,10.87,56.82,-0.01,-0.03,0.02,10.77,10.78,,0.92,0.82,,11.03,10.77,10.51,69.0,0.09,10700,46815,0.23
0001584691-25-000002,20250106,12/31/2024,SCHEDULE 13G/A,879585,"ATN International, Inc.",00215F107,1584691,Global Alpha Capital Management Ltd.,31,D,31,0,2,12,12,0,0,1,4,0,ATNI,CIK,100,2025-01-07,15.05,54.75,-0.94,-1.11,0.17,15.9,18.28,,-5.35,-17.67,,17.12,15.9,14.69,14.79,0.74,99600,100625,0.99
0000354204-25-000466,20250123,12/31/2024,SCHEDULE 13G/A,879585,ATN International Inc,00215F107,354204,Dimensional Fund Advisors LP,25,D,25,0,2,6,12,0,0,1,4,0,ATNI,CIK,100,2025-01-24,15.04,79.79,-0.68,-0.83,0.15,14.99,16.58,,0.33,-9.29,,16.04,14.99,13.95,52.15,0.73,64100,86645,0.74
0000314984-25-000008,20250107,12/31/2024,SCHEDULE 13G/A,880117,SANFILIPPO JOHN B & SON INC,800422107,314984,THRIVENT FINANCIAL FOR LUTHERANS,21,D,21,0,2,12,2,0,0,1,4,0,JBSS,CIK,100,2025-01-08,83.81,40.6,-0.17,-0.19,0.02,84.07,83.2,,-0.31,0.74,,88.01,84.07,80.12,46.81,2.12,93500,127985,0.73
0001213900-25-002767,20250110,01/06/2025,SCHEDULE 13G,883975,Microbot Medical Inc.,59503A204,1646799,Daniel B. Asher,25,D,25,0,6,9,2,0,0,4,4,0,MBOT,CIK,100,2025-01-10,1.93,64.0,0.31,0.2,0.12,1.35,1.12,,42.96,72.32,,2.56,1.35,0.15,73.86,0.38,3899500,6146470,0.63
0001213900-25-002767,20250110,01/06/2025,SCHEDULE 13G,883975,Microbot Medical Inc.,59503A204,1646799,Intracoastal Capital LLC,25,D,25,0,6,9,2,0,0,4,4,0,MBOT,CIK,100,2025-01-10,1.93,64.0,0.31,0.2,0.12,1.35,1.12,,42.96,72.32,,2.56,1.35,0.15,73.86,0.38,3899500,6146470,0.63
0001213900-25-002767,20250110,01/06/2025,SCHEDULE 13G,883975,Microbot Medical Inc.,59503A204,1646799,Mitchell P. Kopin,25,D,25,0,6,9,2,0,0,4,4,0,MBOT,CIK,100,2025-01-10,1.93,64.0,0.31,0.2,0.12,1.35,1.12,,42.96,72.32,,2.56,1.35,0.15,73.86,0.38,3899500,6146470,0.63
0001649553-25-000008,20250113,01/06/2025,SCHEDULE 13G,883975,Microbot Medical Inc.,59503A204,1649553,"CVI Investments, Inc.",28,D,28,0,6,6,8,0,0,4,4,0,MBOT,CIK,100,2025-01-14,1.54,56.0,0.26,0.22,0.03,1.42,1.15,,8.45,33.91,,2.61,1.42,0.22,55.23,0.42,4403400,6481595,0.68
0001649553-25-000008,20250113,01/06/2025,SCHEDULE 13G,883975,Microbot Medical Inc.,59503A204,1649553,"Heights Capital Management, Inc.",28,D,28,0,6,6,8,0,0,4,4,0,MBOT,CIK,100,2025-01-14,1.54,56.0,0.26,0.22,0.03,1.42,1.15,,8.45,33.91,,2.61,1.42,0.22,55.23,0.42,4403400,6481595,0.68
0000932471-25-000134,20250130,12/31/2024,SCHEDULE 13G,884144,Asure Software Inc,04649U102,102909,The Vanguard Group,32,D,32,0,6,6,12,0,0,4,4,0,ASUR,CIK,100,2025-01-31,11.82,48.71,0.6,0.68,-0.08,11.63,10.27,,1.63,15.09,,13.42,11.63,9.84,55.31,0.44,67400,139840,0.48
0001040188-25-000003,20250127,12/31/2024,SCHEDULE 13G/A,884219,Viad Corporation,92552R406,1040188,"Victory Capital Management, Inc.",29,D,29,0,2,9,12,0,0,2,4,0,PRSU,CIK,100,2025-01-28,40.96,41.07,-0.77,-0.87,0.1,40.4,42.55,,1.39,-3.74,,42.82,40.4,37.99,61.49,1.23,196200,180680,1.09
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1044005,Alexis P. Michas,84,A,84,0,18,6,10,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1382909,John A. Bartholdson,84,A,84,0,18,6,10,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1524397,"Juniper Targeted Opportunity Fund, L.P.",74,B,74,0,18,0,6,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1680619,"Juniper Targeted Opportunities, L.P.",74,B,74,0,18,0,6,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1794034,"Juniper HF Investors II, LLC",74,B,74,0,18,0,6,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1794034,"Juniper HF Investors, LLC",74,B,74,0,18,0,6,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1794034,"Juniper Investment Company, LLC",86,A,86,0,18,6,12,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1794034,"Juniper Multi-Strategy Fund, L.P.",74,B,74,0,18,0,6,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001214659-25-000281,20250107,12/30/2024,SCHEDULE 13D,884624,Orthofix Medical Inc.,68752M108,1794034,"Juniper Targeted Opportunity Investors, LLC",74,B,74,0,18,0,6,6,18,4,16,6,OFIX,CIK,100,2025-01-08,17.13,83.65,-0.26,-0.2,-0.05,17.62,18.05,,-2.78,-5.1,,18.47,17.62,16.78,20.71,0.63,245400,186780,1.31
0001398344-25-001490,20250131,12/31/2024,SCHEDULE 13G/A,885307,Jewett-Cameron Trading Company Ltd,47733C207,1287075,"Comprehensive Financial Planning, Inc.",28,D,28,0,2,9,12,0,0,1,4,0,JCTC,CIK,100,2025-01-31,4.59,19.01,-0.0,0.01,-0.01,4.64,4.57,,-1.08,0.44,,4.97,4.64,4.31,42.42,0.36,1500,8570,0.18
0001673359-25-000005,20250129,12/31/2024,SCHEDULE 13G/A,885307,JEWETT CAMERON TRADING CO LTD,47733C207,1673359,"Fort Nelson Partners, LP",19,D,19,0,2,6,6,0,0,1,4,0,JCTC,CIK,100,2025-01-30,4.58,19.85,-0.0,0.01,-0.02,4.64,4.56,,-1.29,0.44,,4.97,4.64,4.31,40.91,0.39,3900,8595,0.45
0001580642-25-000419,20250124,12/31/2024,SCHEDULE 13G,885978,US Physical Therapy,90337L108,1541743,Copeland Capital Management,32,D,32,0,6,6,12,0,0,4,4,0,USPH,CIK,100,2025-01-24,87.22,65.8,-0.59,-0.86,0.27,87.2,90.41,,0.02,-3.53,,89.42,87.2,84.99,50.27,2.35,96600,80105,1.21
0001398344-25-000406,20250108,12/31/2024,SCHEDULE 13D,886136,SAGA COMMUNICATIONS INC,786598300,1705447,"Gate City Capital Management, LLC",86,A,86,0,18,12,12,6,18,4,16,0,SGA,CIK,100,2025-01-08,10.67,35.91,-0.25,-0.28,0.04,10.85,11.43,,-1.65,-6.64,,11.63,10.85,10.07,38.55,0.4,44000,45220,0.97
0001398344-25-000406,20250108,12/31/2024,SCHEDULE 13D,886136,SAGA COMMUNICATIONS INC,786598300,1705447,Michael Melby,84,A,84,0,18,12,10,6,18,4,16,0,SGA,CIK,100,2025-01-08,10.67,35.91,-0.25,-0.28,0.04,10.85,11.43,,-1.65,-6.64,,11.63,10.85,10.07,38.55,0.4,44000,45220,0.97
0000932471-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,886346,Kadant Inc,48282T104,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,KAI,CIK,100,2025-01-08,343.27,88.4,-9.38,-8.9,-0.48,355.14,373.7,,-3.34,-8.14,,382.47,355.14,327.81,28.28,8.57,81300,130010,0.63
0000932471-25-000313,20250131,12/31/2024,SCHEDULE 13G/A,887733,Central Garden & Pet Co,153527106,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,CENT,CIK,100,2025-01-31,36.49,33.79,-0.48,-0.6,0.11,36.6,38.5,,-0.3,-5.22,,38.13,36.6,35.07,46.41,0.98,88000,89655,0.98
0001890906-25-000018,20250113,12/31/2024,SCHEDULE 13G/A,887733,Central Garden & Pet Co,153527106,1890906,"Allspring Global Investments Holdings, LLC",24,D,24,0,2,9,8,0,0,1,4,0,CENT,CIK,100,2025-01-14,35.81,53.92,-0.91,-0.44,-0.47,38.71,38.47,,-7.49,-6.91,,42.83,38.71,34.58,14.91,1.12,101200,143800,0.7
0001040188-25-000011,20250127,12/31/2024,SCHEDULE 13G/A,887936,"FTI Consulting, INC.",302941109,1040188,"Victory Capital Management, Inc.",20,D,20,0,2,0,12,0,0,2,4,0,FCN,CIK,100,2025-01-28,197.33,49.19,-0.54,-1.25,0.7,193.07,196.51,,2.21,0.42,,197.6,193.07,188.54,97.02,4.52,453500,218010,2.08
0000892712-25-000004,20250106,12/11/2024,SCHEDULE 13G/A,889348,CPI AEROSTRUCTURES INC,125919308,1144819,CALM WATERS PARTNERSHIP,14,D,14,0,2,0,6,0,0,2,4,0,CVU,CIK,100,2025-01-07,4.62,50.68,0.22,0.16,0.07,3.97,3.67,,16.37,25.89,,4.54,3.97,3.4,107.02,0.22,73600,54270,1.36
0000892712-25-000004,20250106,12/11/2024,SCHEDULE 13G/A,889348,CPI AEROSTRUCTURES INC,125919308,1144819,STRONG RICHARD S,18,D,18,0,2,0,10,0,0,2,4,0,CVU,CIK,100,2025-01-07,4.62,50.68,0.22,0.16,0.07,3.97,3.67,,16.37,25.89,,4.54,3.97,3.4,107.02,0.22,73600,54270,1.36
0001398344-25-000478,20250108,12/31/2024,SCHEDULE 13G/A,889348,"CPI Aerostructures, Inc.",125919308,1622933,JOHN CURTIS RUDOLF,24,D,24,0,2,6,10,0,0,2,4,0,CVU,CIK,100,2025-01-08,4.54,52.11,0.24,0.17,0.06,4.02,3.7,,12.94,22.7,,4.61,4.02,3.42,94.12,0.23,71700,56025,1.28
0001493152-25-004410,20250131,12/31/2024,SCHEDULE 13G/A,889971,Lightpath Technologies Inc,532257805,1131362,AIGH Capital Management LLC,18,D,18,0,2,9,2,0,0,1,4,0,LPTH,CIK,100,2025-01-31,3.0,62.0,0.06,0.15,-0.09,3.32,2.65,,-9.64,13.21,,4.09,3.32,2.54,29.68,0.26,146600,422520,0.35
0001493152-25-004410,20250131,12/31/2024,SCHEDULE 13G/A,889971,Lightpath Technologies Inc,532257805,1131362,Orin Hirschman,18,D,18,0,2,9,2,0,0,1,4,0,LPTH,CIK,100,2025-01-31,3.0,62.0,0.06,0.15,-0.09,3.32,2.65,,-9.64,13.21,,4.09,3.32,2.54,29.68,0.26,146600,422520,0.35
0001599511-25-000003,20250114,12/31/2024,SCHEDULE 13G,890119,NUVEEN SELECT MATURITIES MUNICIPAL FUND,67061T101,1599511,"Tortoise Investment Management, LLC",32,D,32,0,6,6,12,0,0,4,4,0,NIM,CIK,100,2025-01-15,8.57,56.78,-0.01,-0.03,0.02,8.41,8.51,,1.86,0.67,,8.56,8.41,8.25,102.17,0.1,20800,82745,0.25
0001140361-25-001649,20250122,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,1257391,WHITEBOX ADVISORS LLC,37,D,37,0,12,0,12,1,0,2,4,6,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0000950170-25-007535,20250122,01/21/2025,SCHEDULE 13D/A,890447,"Vertex Energy, Inc.",92534K107,1364742,"BlackRock, Inc.",38,D,38,0,12,0,8,1,0,1,16,0,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0001493152-25-003455,20250123,01/21/2025,SCHEDULE 13D/A,890447,"Vertex Energy, Inc.",92534K107,1390947,Jennifer Straumins,33,D,33,0,12,0,10,5,0,2,4,0,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0001140361-25-001649,20250122,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,1650272,WHITEBOX GENERAL PARTNER LLC,27,D,27,0,12,0,2,1,0,2,4,6,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0001140361-25-001646,20250122,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,1659709,CrowdOut Capital LLC,37,D,37,0,12,0,12,1,0,2,4,6,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0001140361-25-001646,20250122,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,1755295,Alexander Schoenbaum,27,D,27,0,12,0,2,1,0,2,4,6,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0001140361-25-001646,20250122,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,1755295,Brian Gilmore,27,D,27,0,12,0,2,1,0,2,4,6,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0001140361-25-001646,20250122,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,1755295,CrowdOut Credit Opportunities Fund LLC,27,D,27,0,12,0,2,1,0,2,4,6,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0000950170-25-007970,20250122,01/21/2025,SCHEDULE 13D,890447,"Vertex Energy, Inc.",92534K107,2012383,"BlackRock, Inc.",47,C,47,0,18,0,8,1,0,4,16,0,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0000902664-25-000422,20250123,01/21/2025,SCHEDULE 13D/A,890447,Vertex Energy Inc.,92534K107,919185,"Highbridge Capital Management, LLC",22,D,22,0,12,0,2,2,0,2,4,0,"""VTNR""",CIK,100,,,,,,,,,,,,,,,,,,,,
0000929638-25-000040,20250106,12/31/2024,SCHEDULE 13G,890821,"Enveric Biosciences, Inc.",29405E208,1408970,AdvisorShares Trust,22,D,22,0,6,6,2,0,0,4,4,0,ENVB,CIK,100,2025-01-07,1363.5,36.93,38.77,-12.98,51.75,969.84,1044.36,,40.59,30.56,,1211.74,969.84,727.94,131.37,129.41,1004,197,5.1
0001062993-25-000947,20250121,01/20/2025,SCHEDULE 13D/A,891038,BlackRock MuniYield Pennsylvania Quality Fund,09255G107,1510281,"Saba Capital Management GP, LLC",34,D,34,0,12,14,2,1,0,1,4,0,MPA,CIK,100,2025-01-22,11.15,33.6,0.02,-0.02,0.04,10.91,11.11,,2.24,0.4,,11.32,10.91,10.51,79.52,0.15,21200,28235,0.75
