accession_number,filed_as_of_date,date_of_event,conformed_submission_type,issuer_cik,issuer_name,issuer_cusip,reporting_person_cik,reporting_person_name,score_total,grade,score_base,score_direction_adj,score_form_type,score_percent_of_class,score_rpt_type,score_source_funds,score_activist,score_amend_no,score_purpose,score_item6,ticker,ticker_match_method,ticker_match_score
0001390777-25-000019,20250123,12/31/2024,SCHEDULE 13G,1308547,"Dolby Laboratories, Inc.",25659T107,1390777,"BNY Mellon IHC, LLC",31,D,31,0,6,9,8,0,0,4,4,0,DLB,CIK,100
0001390777-25-000019,20250123,12/31/2024,SCHEDULE 13G,1308547,"Dolby Laboratories, Inc.",25659T107,1390777,MBC Investments Corp,31,D,31,0,6,9,8,0,0,4,4,0,DLB,CIK,100
0001390777-25-000019,20250123,12/31/2024,SCHEDULE 13G,1308547,"Dolby Laboratories, Inc.",25659T107,1390777,"Newton Investment Management North America, LLC",32,D,32,0,6,6,12,0,0,4,4,0,DLB,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,Electrum Global Holdings L.P.,28,D,28,0,6,12,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,Electrum Silver US II LLC,16,D,16,0,6,0,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,Electrum Silver US LLC,25,D,25,0,6,9,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,Electrum Strategic Management LLC,28,D,28,0,6,12,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,Electrum Strategic Opportunities Fund II GP L.P.,16,D,16,0,6,0,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,Electrum Strategic Opportunities Fund II L.P.,16,D,16,0,6,0,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,ESOF II GP Ltd.,16,D,16,0,6,0,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,TEG Global GP Ltd.,28,D,28,0,6,12,2,0,0,4,4,0,AG,CIK,100
0000950170-25-007851,20250122,01/16/2025,SCHEDULE 13G,1308648,First Majestic Silver Corp.,32076V103,1830153,The Electrum Group LLC,38,D,38,0,6,12,12,0,0,4,4,0,AG,CIK,100
0000932471-25-000102,20250130,12/31/2024,SCHEDULE 13G/A,1313275,Brightcove Inc,10921T101,102909,The Vanguard Group,19,D,19,0,2,0,12,0,0,1,4,0,"""BCOV""",CIK,100
0001076809-25-000006,20250122,01/14/2025,SCHEDULE 13G,1313275,BRIGHTCOVE INC.,10921T101,1076809,"Glazer Capital, LLC",22,D,22,0,6,6,2,0,0,4,4,0,"""BCOV""",CIK,100
0001076809-25-000006,20250122,01/14/2025,SCHEDULE 13G,1313275,BRIGHTCOVE INC.,10921T101,1076809,Paul J. Glazer,30,D,30,0,6,6,10,0,0,4,4,0,"""BCOV""",CIK,100
0000038777-25-000007,20250127,12/31/2024,SCHEDULE 13G/A,1314102,"EyePoint Pharmaceuticals, Inc.",30233G209,38777,Charles B. Johnson,9,D,9,0,2,0,2,0,0,1,4,0,EYPT,CIK,100
0000038777-25-000007,20250127,12/31/2024,SCHEDULE 13G/A,1314102,"EyePoint Pharmaceuticals, Inc.",30233G209,38777,"Franklin Advisers, Inc.",15,D,15,0,2,6,2,0,0,1,4,0,EYPT,CIK,100
0000038777-25-000007,20250127,12/31/2024,SCHEDULE 13G/A,1314102,"EyePoint Pharmaceuticals, Inc.",30233G209,38777,"Franklin Resources, Inc.",15,D,15,0,2,6,2,0,0,1,4,0,EYPT,CIK,100
0000038777-25-000007,20250127,12/31/2024,SCHEDULE 13G/A,1314102,"EyePoint Pharmaceuticals, Inc.",30233G209,38777,"Rupert H. Johnson, Jr.",9,D,9,0,2,0,2,0,0,1,4,0,EYPT,CIK,100
0000950170-25-003860,20250110,12/31/2024,SCHEDULE 13G/A,1318008,Zumiez Inc.,989817101,1323607,Thomas D. Campion,23,D,23,0,2,6,10,0,0,1,4,0,ZUMZ,CIK,100
0000950170-25-003851,20250110,12/31/2024,SCHEDULE 13G,1318008,Zumiez Inc.,989817101,1323608,Richard M. Brooks,36,D,36,0,6,12,10,0,0,4,4,0,ZUMZ,CIK,100
0000354204-25-000524,20250123,12/31/2024,SCHEDULE 13G/A,1318008,Zumiez Inc,989817101,354204,Dimensional Fund Advisors LP,25,D,25,0,2,6,12,0,0,1,4,0,ZUMZ,CIK,100
0000932471-25-000119,20250130,12/31/2024,SCHEDULE 13G/A,1318484,Citi Trends Inc,17306X102,102909,The Vanguard Group,20,D,20,0,2,0,12,0,0,2,4,0,CTRN,CIK,100
0001532155-25-000006,20250106,12/31/2024,SCHEDULE 13G/A,1318484,Citi Trends Inc,17306X102,1109448,AllianceBernstein L.P.,19,D,19,0,2,0,12,0,0,1,4,0,CTRN,CIK,100
0001213900-25-007872,20250129,12/31/2024,SCHEDULE 13G/A,1318885,DIANA SHIPPING INC.,Y2066G104,1942293,Atlanta International Inc.,27,D,27,0,2,12,8,0,0,1,4,0,DSX,CIK,100
0001213900-25-007872,20250129,12/31/2024,SCHEDULE 13G/A,1318885,DIANA SHIPPING INC.,Y2066G104,1942293,Sea Trade Holdings Inc.,27,D,27,0,2,12,8,0,0,1,4,0,DSX,CIK,100
0001213900-25-007872,20250129,12/31/2024,SCHEDULE 13G/A,1318885,DIANA SHIPPING INC.,Y2066G104,1942293,Transatlantic Shipholdings Inc.,27,D,27,0,2,12,8,0,0,1,4,0,DSX,CIK,100
0000932471-25-000121,20250130,12/31/2024,SCHEDULE 13G/A,1319947,Designer Brands Inc,250565108,102909,The Vanguard Group,25,D,25,0,2,6,12,0,0,1,4,0,DBI,CIK,100
0001445546-25-000766,20250131,12/31/2024,SCHEDULE 13G/A,1320375,BlackRock Enhanced Global Dividend Trust,092501105,1184765,First Trust Advisors L.P.,20,D,20,0,2,0,12,0,0,2,4,0,BOE,CIK,100
0001445546-25-000766,20250131,12/31/2024,SCHEDULE 13G/A,1320375,BlackRock Enhanced Global Dividend Trust,092501105,1184765,First Trust Portfolios L.P.,10,D,10,0,2,0,2,0,0,2,4,0,BOE,CIK,100
0001445546-25-000766,20250131,12/31/2024,SCHEDULE 13G/A,1320375,BlackRock Enhanced Global Dividend Trust,092501105,1184765,The Charger Corporation,16,D,16,0,2,0,8,0,0,2,4,0,BOE,CIK,100
0001104659-25-007654,20250130,12/31/2024,SCHEDULE 13G/A,1320414,Select Medical Holdings Corporation,81619Q105,948252,Estate of Rocco A. Ortenzio,17,D,17,0,2,0,10,0,0,1,4,0,SEM,CIK,100
0000314984-25-000014,20250108,12/31/2024,SCHEDULE 13G/A,1320461,Cooper-Standard Holdings Inc.,21676P103,314984,THRIVENT FINANCIAL FOR LUTHERANS,18,D,18,0,2,9,2,0,0,1,4,0,CPS,CIK,100
0000315066-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1320695,TREEHOUSE FOODS INC,89469A104,315066,Abigail P. Johnson,30,D,30,0,2,12,10,0,0,2,4,0,THS,CIK,100
0000315066-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1320695,TREEHOUSE FOODS INC,89469A104,315066,FMR LLC,28,D,28,0,2,12,8,0,0,2,4,0,THS,CIK,100
0000932471-25-000216,20250131,12/31/2024,SCHEDULE 13G/A,1321655,Palantir Technologies Inc,69608A108,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,PLTR,CIK,100
0000921895-25-000015,20250102,12/23/2024,SCHEDULE 13G,1325702,MAGNACHIP SEMICONDUCTOR Corp,55933J203,1970265,IMMERSION CORP,31,D,31,0,6,9,8,0,0,4,4,0,MX,CIK,100
0000921895-25-000015,20250102,12/23/2024,SCHEDULE 13G,1325702,MAGNACHIP SEMICONDUCTOR Corp,55933J203,1970265,MARTIN WILLIAM C,33,D,33,0,6,9,10,0,0,4,4,0,MX,CIK,100
0000921895-25-000015,20250102,12/23/2024,SCHEDULE 13G,1325702,MAGNACHIP SEMICONDUCTOR Corp,55933J203,1970265,Singer Eric,33,D,33,0,6,9,10,0,0,4,4,0,MX,CIK,100
0000921895-25-000015,20250102,12/23/2024,SCHEDULE 13G,1325702,MAGNACHIP SEMICONDUCTOR Corp,55933J203,1970265,TORO 18 HOLDINGS LLC,25,D,25,0,6,9,2,0,0,4,4,0,MX,CIK,100
0000921895-25-000190,20250129,01/27/2025,SCHEDULE 13D/A,1326380,GameStop Corp.,36467W109,1767470,Cohen Ryan,41,C,41,0,12,9,10,5,0,1,4,0,GME,CIK,100
0000921895-25-000190,20250129,01/27/2025,SCHEDULE 13D/A,1326380,GameStop Corp.,36467W109,1822844,RC Ventures LLC,24,D,24,0,12,0,2,5,0,1,4,0,GME,CIK,100
0000932471-25-000260,20250131,12/31/2024,SCHEDULE 13G/A,1327811,Workday Inc,98138H101,102909,The Vanguard Group,28,D,28,0,2,9,12,0,0,1,4,0,WDAY,CIK,100
0000919574-25-000562,20250129,01/22/2025,SCHEDULE 13D,1331284,"DHT Holdings, Inc.",Y2065G121,1483934,Scorpio Holdings Limited,82,A,82,0,18,6,8,6,18,4,16,6,DHT,CIK,100
0000919574-25-000562,20250129,01/22/2025,SCHEDULE 13D,1331284,"DHT Holdings, Inc.",Y2065G121,1483934,Scorpio Tankers Inc.,82,A,82,0,18,6,8,6,18,4,16,6,DHT,CIK,100
0000919574-25-000562,20250129,01/22/2025,SCHEDULE 13D,1331284,"DHT Holdings, Inc.",Y2065G121,1512327,Annalisa Lolli-Ghetti,84,A,84,0,18,6,10,6,18,4,16,6,DHT,CIK,100
0000919574-25-000562,20250129,01/22/2025,SCHEDULE 13D,1331284,"DHT Holdings, Inc.",Y2065G121,1646142,Scorpio Services Holding Ltd.,82,A,82,0,18,6,8,6,18,4,16,6,DHT,CIK,100
0000354204-25-000464,20250123,12/31/2024,SCHEDULE 13G/A,1331284,DHT Holdings Inc,Y2065G121,354204,Dimensional Fund Advisors LP,25,D,25,0,2,6,12,0,0,1,4,0,DHT,CIK,100
0001839882-25-004139,20250128,12/31/2024,SCHEDULE 13G/A,1332943,Voya Global Advantage and Premium Opportunity Fund,92912R104,1297376,"Advisors Asset Management, Inc.",19,D,19,0,2,9,2,0,0,2,4,0,IGA,CIK,100
0001027796-25-000008,20250130,12/31/2024,SCHEDULE 13G,1333986,"Equitable Holdings, Inc.",29452E101,1027796,PZENA INVESTMENT MANAGEMENT LLC,26,D,26,0,6,0,12,0,0,4,4,0,EQH,CIK,100
0000919574-25-000453,20250122,01/21/2025,SCHEDULE 13D/A,1337013,"InfuSystem Holdings, Inc",45685K102,1519525,Christopher Sansone,59,C,59,0,12,0,10,2,18,1,16,0,INFU,CIK,100
0000919574-25-000453,20250122,01/21/2025,SCHEDULE 13D/A,1337013,"InfuSystem Holdings, Inc",45685K102,1588957,"Sansone Advisors, LLC",51,C,51,0,12,0,2,2,18,1,16,0,INFU,CIK,100
0000919574-25-000453,20250122,01/21/2025,SCHEDULE 13D/A,1337013,"InfuSystem Holdings, Inc",45685K102,1710368,"Sansone Capital Management, LLC",51,C,51,0,12,0,2,2,18,1,16,0,INFU,CIK,100
0000354204-25-000474,20250123,12/31/2024,SCHEDULE 13G,1337298,FutureFuel Corp,36116M106,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,FF,CIK,100
0000950170-25-002200,20250106,12/31/2024,SCHEDULE 13G/A,1339605,"H&E Equipment Services, Inc.",404030108,1349155,John M. Engquist,23,D,23,0,2,6,10,0,0,1,4,0,"""HEES""",CIK,100
0001623632-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1339970,"ATYR PHARMA, INC.",002120202,1056288,Ann C. Donahue,31,D,31,0,2,14,10,0,0,1,4,0,ATYR,CIK,100
0001623632-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1339970,"ATYR PHARMA, INC.",002120202,1056288,"Federated Hermes, Inc.",29,D,29,0,2,14,8,0,0,1,4,0,ATYR,CIK,100
0001623632-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1339970,"ATYR PHARMA, INC.",002120202,1056288,J. Christopher Donahue,31,D,31,0,2,14,10,0,0,1,4,0,ATYR,CIK,100
0001623632-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1339970,"ATYR PHARMA, INC.",002120202,1056288,Thomas R. Donahue,31,D,31,0,2,14,10,0,0,1,4,0,ATYR,CIK,100
0001623632-25-000025,20250108,12/31/2024,SCHEDULE 13G/A,1339970,"ATYR PHARMA, INC.",002120202,1056288,Voting Shares Irrevocable Trust,23,D,23,0,2,14,2,0,0,1,4,0,ATYR,CIK,100
0000354204-25-000461,20250123,12/31/2024,SCHEDULE 13G,1341335,Fortuna Mining Corp,349942102,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,FSM,CIK,100
0001376474-25-000082,20250114,11/12/2024,SCHEDULE 13G,1342936,"Rivulet Entertainment, Inc.",00767C205,1822571,Daniel Dean Crosser,36,D,36,0,6,12,10,0,0,4,4,0,RIVF,CIK,100
0001753926-25-000021,20250103,12/31/2024,SCHEDULE 13D/A,1347242,Lipella Pharmaceuticals Inc.,53630L209,1959250,Jonathan H. Kaufman,64,B,64,0,12,14,10,5,0,1,16,6,LIPO,CIK,100
0001753926-25-000103,20250117,01/15/2025,SCHEDULE 13D/A,1347242,Lipella Pharmaceuticals Inc.,53630L209,1959250,Jonathan H. Kaufman,64,B,64,0,12,14,10,5,0,1,16,6,LIPO,CIK,100
0001753926-25-000123,20250123,01/21/2025,SCHEDULE 13D/A,1347242,Lipella Pharmaceuticals Inc.,53630L209,1959250,Jonathan H. Kaufman,50,C,56,-6,12,12,10,5,0,1,16,0,LIPO,CIK,100
0001753926-25-000163,20250130,01/28/2025,SCHEDULE 13D/A,1347242,Lipella Pharmaceuticals Inc.,53630L209,1959250,Jonathan H. Kaufman,50,C,56,-6,12,12,10,5,0,1,16,0,LIPO,CIK,100
0001753926-25-000125,20250123,01/21/2025,SCHEDULE 13D/A,1347242,Lipella Pharmaceuticals Inc.,53630L209,1959360,Michael B. Chancellor,56,C,56,0,12,12,10,5,0,1,16,0,LIPO,CIK,100
0001753926-25-000165,20250130,01/28/2025,SCHEDULE 13D/A,1347242,Lipella Pharmaceuticals Inc.,53630L209,1959360,Michael B. Chancellor,50,C,56,-6,12,12,10,5,0,1,16,0,LIPO,CIK,100
0001535610-25-000016,20250103,12/31/2024,SCHEDULE 13G/A,1347242,LIPELLA PHARMACEUTICALS INC.,53630L100,1535610,HAL MINTZ,18,D,18,0,2,0,10,0,0,2,4,0,LIPO,CIK,100
0001535610-25-000016,20250103,12/31/2024,SCHEDULE 13G/A,1347242,LIPELLA PHARMACEUTICALS INC.,53630L100,1535610,"SABBY MANAGEMENT, LLC",10,D,10,0,2,0,2,0,0,2,4,0,LIPO,CIK,100
0001535610-25-000016,20250103,12/31/2024,SCHEDULE 13G/A,1347242,LIPELLA PHARMACEUTICALS INC.,53630L100,1535610,SABBY VOLATILITY WARRANT MASTER FUND LTD,10,D,10,0,2,0,2,0,0,2,4,0,LIPO,CIK,100
0001023875-25-000006,20250127,12/31/2024,SCHEDULE 13G/A,1350593,"MUELLER WATER PRODUCTS, INC.",624758108,1023875,"Franklin Mutual Advisers, LLC",10,D,10,0,2,0,2,0,0,2,4,0,MWA,CIK,100
0002012383-25-000038,20250108,12/31/2024,SCHEDULE 13G,1350593,"Mueller Water Products, Inc.",624758108,2012383,"BlackRock, Inc.",34,D,34,0,6,12,8,0,0,4,4,0,MWA,CIK,100
0001654954-25-000110,20250103,12/31/2024,SCHEDULE 13D/A,1360565,"Where Food Comes From, Inc.",96327X101,1563674,"Yorkmont Capital Management, LLC",59,C,59,0,12,12,12,6,0,1,16,0,WFCF,CIK,100
0001654954-25-000110,20250103,12/31/2024,SCHEDULE 13D/A,1360565,"Where Food Comes From, Inc.",96327X101,1563674,"Yorkmont Capital Partners, LP",53,C,53,0,12,12,6,6,0,1,16,0,WFCF,CIK,100
0001654954-25-000110,20250103,12/31/2024,SCHEDULE 13D/A,1360565,"Where Food Comes From, Inc.",96327X101,1674265,Rein Graeme P.,49,C,49,0,12,12,2,6,0,1,16,0,WFCF,CIK,100
0001477932-25-000243,20250114,12/31/2024,SCHEDULE 13G/A,1362190,AUDIOEYE INC,050734201,1768651,Cedar Holdings MGMT,9,D,9,0,2,0,2,0,0,1,4,0,AEYE,CIK,100
0001477932-25-000243,20250114,12/31/2024,SCHEDULE 13G/A,1362190,AUDIOEYE INC,050734201,1768651,Kosow Keith,17,D,17,0,2,0,10,0,0,1,4,0,AEYE,CIK,100
0001477932-25-000243,20250114,12/31/2024,SCHEDULE 13G/A,1362190,AUDIOEYE INC,050734201,1768651,"KTK Capital, Inc.",9,D,9,0,2,0,2,0,0,1,4,0,AEYE,CIK,100
0000919574-25-000122,20250107,12/31/2024,SCHEDULE 13G,1362468,Allegiant Travel Company,01748X102,1088219,"Feinberg, Jeff",30,D,30,0,6,6,10,0,0,4,4,0,ALGT,CIK,100
0000919574-25-000122,20250107,12/31/2024,SCHEDULE 13G,1362468,Allegiant Travel Company,01748X102,1088219,Jeffrey L. Feinberg Personal Trust,22,D,22,0,6,6,2,0,0,4,4,0,ALGT,CIK,100
0001445546-25-000488,20250117,12/31/2024,SCHEDULE 13G/A,1362481,abrdn Global Dynamic Dividend Fund,00302M106,1184765,First Trust Advisors L.P.,31,D,31,0,2,12,12,0,0,1,4,0,AGD,CIK,100
0001445546-25-000488,20250117,12/31/2024,SCHEDULE 13G/A,1362481,abrdn Global Dynamic Dividend Fund,00302M106,1184765,First Trust Portfolios L.P.,21,D,21,0,2,12,2,0,0,1,4,0,AGD,CIK,100
0001445546-25-000488,20250117,12/31/2024,SCHEDULE 13G/A,1362481,abrdn Global Dynamic Dividend Fund,00302M106,1184765,The Charger Corporation,27,D,27,0,2,12,8,0,0,1,4,0,AGD,CIK,100
0001104659-25-004923,20250121,01/21/2025,SCHEDULE 13D/A,1363829,Enstar Group Limited,G3075P101,1387738,Dominic F. Silvester,35,D,35,0,12,6,10,1,0,2,4,0,"""ESGR""",CIK,100
0001104659-25-004923,20250121,01/21/2025,SCHEDULE 13D/A,1363829,Enstar Group Limited,G3075P101,1387738,Volume Five Limited,27,D,27,0,12,6,2,1,0,2,4,0,"""ESGR""",CIK,100
0002012383-25-000323,20250130,12/31/2024,SCHEDULE 13G/A,1366561,SMARTSHEET INC,83200N103,2012383,"BlackRock, Inc.",22,D,22,0,2,6,8,0,0,2,4,0,"""SMAR""",CIK,100
0000932471-25-000104,20250130,12/31/2024,SCHEDULE 13G/A,1368265,Clean Energy Fuels Corp,184499101,102909,The Vanguard Group,20,D,20,0,2,0,12,0,0,2,4,0,CLNE,CIK,100
0000315066-25-000031,20250108,12/31/2024,SCHEDULE 13G/A,1368458,SALLY BEAUTY HLDGS INC,79546E104,315066,Abigail P. Johnson,26,D,26,0,2,9,10,0,0,1,4,0,SBH,CIK,100
0000315066-25-000031,20250108,12/31/2024,SCHEDULE 13G/A,1368458,SALLY BEAUTY HLDGS INC,79546E104,315066,FMR LLC,24,D,24,0,2,9,8,0,0,1,4,0,SBH,CIK,100
0001890906-25-000024,20250113,12/31/2024,SCHEDULE 13G/A,1368493,Morgan Stanley China A Share F,617468103,1890906,"Allspring Global Investments Holdings, LLC",27,D,27,0,2,12,8,0,0,1,4,0,CAF,CIK,100
0001104659-25-003963,20250116,01/14/2025,SCHEDULE 13D/A,1369241,Danaos Corporation,Y1968P121,1389182,Danaos Investment Limited as Trustee of the 883 Trust,50,C,50,0,12,14,2,5,0,1,16,0,DAC,CIK,100
0001104659-25-003963,20250116,01/14/2025,SCHEDULE 13D/A,1369241,Danaos Corporation,Y1968P121,1389182,John Coustas,58,C,58,0,12,14,10,5,0,1,16,0,DAC,CIK,100
0001102598-25-000014,20250108,12/31/2024,SCHEDULE 13G/A,1370450,"Willdan Group, Inc.",96924N100,1330387,AMUNDI,15,D,15,0,2,0,8,0,0,1,4,0,WLDN,CIK,100
0001102598-25-000014,20250108,12/31/2024,SCHEDULE 13G/A,1370450,"Willdan Group, Inc.",96924N100,1330387,AMUNDI ASSET MANAGEMENT,9,D,9,0,2,0,2,0,0,1,4,0,WLDN,CIK,100
0001085146-25-000024,20250106,12/31/2024,SCHEDULE 13G/A,1371571,Invesco DB US Dollar Index Trust,46141D203,1133639,New York Life Investment Management LLC,34,D,34,0,2,14,12,0,0,2,4,0,"""UUP""",CIK,100
0001815572-25-000002,20250117,01/15/2025,SCHEDULE 13G,1374328,"FITLIFE BRANDS, INC.",33817P306,1815572,ASKELADDEN CAPITAL MANAGEMENT LLC,22,D,22,0,6,6,2,0,0,4,4,0,FTLF,CIK,100
0001815572-25-000002,20250117,01/15/2025,SCHEDULE 13G,1374328,"FITLIFE BRANDS, INC.",33817P306,1815572,Samir Patel,22,D,22,0,6,6,2,0,0,4,4,0,FTLF,CIK,100
0001274173-25-000006,20250108,12/31/2024,SCHEDULE 13G/A,1374690,"LARIMAR THERAPEUTICS, INC.",517125100,1274173,Janus Henderson Biotech Innovation Master Fund Ltd,18,D,18,0,2,9,2,0,0,1,4,0,LRMR,CIK,100
0001274173-25-000006,20250108,12/31/2024,SCHEDULE 13G/A,1374690,"LARIMAR THERAPEUTICS, INC.",517125100,1274173,JANUS HENDERSON GROUP PLC,21,D,21,0,2,12,2,0,0,1,4,0,LRMR,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,Pacific Alliance Group Limited,34,D,34,0,6,12,8,0,0,4,4,0,CSIQ,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,PAG,34,D,34,0,6,12,8,0,0,4,4,0,CSIQ,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,PAG Castle Holdings Pte. Ltd.,34,D,34,0,6,12,8,0,0,4,4,0,CSIQ,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,PAG Growth Capital GP II Limited,34,D,34,0,6,12,8,0,0,4,4,0,CSIQ,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,PAG Growth II LP,32,D,32,0,6,12,6,0,0,4,4,0,CSIQ,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,PAG Growth Limited,34,D,34,0,6,12,8,0,0,4,4,0,CSIQ,CIK,100
0001104659-25-005752,20250124,01/17/2025,SCHEDULE 13G,1375877,Canadian Solar Inc.,136635109,1684210,PAGGC II-1 (Cayman) Limited,34,D,34,0,6,12,8,0,0,4,4,0,CSIQ,CIK,100
0001009012-25-000006,20250107,12/31/2024,SCHEDULE 13G/A,1378701,GDL FUND,361570104,1009012,Gene T. Pretti,10,D,10,0,2,0,2,0,0,2,4,0,GDL,CIK,100
0001009012-25-000006,20250107,12/31/2024,SCHEDULE 13G/A,1378701,GDL FUND,361570104,1009012,"Zazove Associates, Inc.",10,D,10,0,2,0,2,0,0,2,4,0,GDL,CIK,100
0001009012-25-000006,20250107,12/31/2024,SCHEDULE 13G/A,1378701,GDL FUND,361570104,1009012,ZAZOVE ASSOCIATES LLC,20,D,20,0,2,0,12,0,0,2,4,0,GDL,CIK,100
0001445546-25-000548,20250117,12/31/2024,SCHEDULE 13G/A,1378872,Invesco International Corporate Bond ETF,46138E636,1184765,First Trust Advisors L.P.,28,D,28,0,2,9,12,0,0,1,4,0,"""BKLN""",CIK,100
0001445546-25-000548,20250117,12/31/2024,SCHEDULE 13G/A,1378872,Invesco International Corporate Bond ETF,46138E636,1184765,First Trust Portfolios L.P.,18,D,18,0,2,9,2,0,0,1,4,0,"""BKLN""",CIK,100
0001445546-25-000548,20250117,12/31/2024,SCHEDULE 13G/A,1378872,Invesco International Corporate Bond ETF,46138E636,1184765,The Charger Corporation,24,D,24,0,2,9,8,0,0,1,4,0,"""BKLN""",CIK,100
0001390777-25-000021,20250123,12/31/2024,SCHEDULE 13G/A,1378872,Invesco Exchange-Traded Fund Trust II,46138E719,1390777,Bank of New York Mellon Corp,25,D,25,0,2,9,8,0,0,2,4,0,"""BKLN""",CIK,100
0001390777-25-000021,20250123,12/31/2024,SCHEDULE 13G/A,1378872,Invesco Exchange-Traded Fund Trust II,46138E719,1390777,"BNY Mellon Advisors, Inc.",29,D,29,0,2,9,12,0,0,2,4,0,"""BKLN""",CIK,100
0001390777-25-000021,20250123,12/31/2024,SCHEDULE 13G/A,1378872,Invesco Exchange-Traded Fund Trust II,46138E719,1390777,"BNY Mellon IHC, LLC",25,D,25,0,2,9,8,0,0,2,4,0,"""BKLN""",CIK,100
0001390777-25-000021,20250123,12/31/2024,SCHEDULE 13G/A,1378872,Invesco Exchange-Traded Fund Trust II,46138E719,1390777,MBC Investments Corp,25,D,25,0,2,9,8,0,0,2,4,0,"""BKLN""",CIK,100
0000092230-25-000011,20250123,12/31/2024,SCHEDULE 13G,1378872,Invesco Exchange-Traded Fund Trust II,46138E693,92230,TRUIST FINANCIAL CORP,22,D,22,0,6,6,2,0,0,4,4,0,"""BKLN""",CIK,100
0000932471-25-000110,20250130,12/31/2024,SCHEDULE 13G/A,1378992,Berry Global Group Inc,08579W103,102909,The Vanguard Group,28,D,28,0,2,9,12,0,0,1,4,0,"""BERY""",CIK,100
0000932471-25-000243,20250131,12/31/2024,SCHEDULE 13G/A,1382821,Redfin Corp,75737F108,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,"""RDFN""",CIK,100
0000914208-25-000002,20250108,12/31/2024,SCHEDULE 13G/A,1383057,Invesco DB Precious Metals Fund,46140H502,914208,Invesco Ltd.,9,D,9,0,2,0,2,0,0,1,4,0,DBP,CIK,100
0001445546-25-000042,20250107,12/31/2024,SCHEDULE 13G,1383496,First Trust Exchange-Traded AlphaDEX(R) Fund,33734X135,1184765,First Trust Advisors L.P.,40,C,40,0,6,14,12,0,0,4,4,0,"""FXD""",CIK,100
0001445546-25-000676,20250124,12/31/2024,SCHEDULE 13G/A,1383496,First Trust Exchange-Traded AlphaDEX(R) Fund,33734X101,1184765,First Trust Advisors L.P.,39,D,33,6,2,14,12,0,0,1,4,0,"""FXD""",CIK,100
0001445546-25-000772,20250131,12/31/2024,SCHEDULE 13G/A,1383496,First Trust Exchange-Traded AlphaDEX(R) Fund,33737M300,1184765,First Trust Advisors L.P.,14,D,20,-6,2,0,12,0,0,2,4,0,"""FXD""",CIK,100
0001445546-25-000042,20250107,12/31/2024,SCHEDULE 13G,1383496,First Trust Exchange-Traded AlphaDEX(R) Fund,33734X135,1184765,First Trust Portfolios L.P.,30,D,30,0,6,14,2,0,0,4,4,0,"""FXD""",CIK,100
0001445546-25-000676,20250124,12/31/2024,SCHEDULE 13G/A,1383496,First Trust Exchange-Traded AlphaDEX(R) Fund,33734X101,1184765,First Trust Portfolios L.P.,29,D,23,6,2,14,2,0,0,1,4,0,"""FXD""",CIK,100
